year,sido_cd,spot_nm,bjd_cd,lat,lon,occrrnc_cnt,caslt_cnt,dth_cnt,se_cnt,sl_cnt,wnd_cnt
2017,28,인천광역시 남구 주안동(주안역삼거리 인근),2817010600,37.464029209696974,126.68038862666667,25,39,0,9,25,5
2017,28,인천광역시 남구 주안동(진흥사거리 인근),2817010600,37.44806433666666,126.67975053242422,22,53,0,8,35,10
2017,28,인천광역시 연수구 청학동(연수국민은행4거리 인근),2818510400,37.41540739787879,126.67691359545458,17,26,0,12,13,1
2017,28,인천광역시 연수구 송도동(다이소앞사거리 인근),2818510600,37.39589537757575,126.65184629363637,14,18,0,7,11,0
2017,28,인천광역시 연수구 연수동(신연수역사거리 인근),2818510300,37.41793130393939,126.69401809545454,12,23,0,6,17,0
2017,28,인천광역시 남동구 만수동(모래마을사거리 인근),2820010300,37.45586977393939,126.71938406303032,25,40,0,11,29,0
2017,28,인천광역시 남동구 논현동(논현역앞 인근),2820011000,37.40103718787878,126.72447554363636,22,35,0,6,28,1
2017,28,인천광역시 남동구 장수동(문예회관사거리 인근),2820010400,37.45009864787878,126.7012179378788,21,44,0,4,39,1
2017,28,인천광역시 부평구 갈산동(굴다리오거리 인근),2823710600,37.490986459999995,126.72973034303027,26,31,0,4,26,1
2017,28,인천광역시 부평구 부평동(시장로터리 인근),2823710100,37.49432949242425,126.72661303242427,25,32,0,7,25,0
2017,28,인천광역시 부평구 부평동(부평역사거리 인근),2823710100,37.491341179696974,126.72317459363636,24,27,0,7,19,1
2017,28,인천광역시 계양구 서운동(작전역3번출구 인근),2824510400,37.52994799090909,126.722538970303,33,45,0,10,31,4
2017,28,인천광역시 계양구 서운동(신대사거리 인근),2824510400,37.52788343090911,126.72252962727276,25,30,0,11,19,0
2017,28,인천광역시 계양구 계산동(계산삼거리 인근),2824510200,37.543484929090916,126.72282109363636,19,28,0,10,18,0
2017,28,인천광역시 서구 가정동(루원교차로 인근),2826010800,37.524713636363636,126.67639001303029,25,39,0,6,33,0
2017,28,인천광역시 서구 석남동(석남제1고가차도 인근),2826011000,37.50629317787878,126.67353359363636,20,31,1,6,22,2
2017,28,인천광역시 서구 금곡동(BYC마전점 인근),2826011800,37.59373552575757,126.67287990363639,19,26,0,2,23,1
2017,28,인천광역시 강화군 강화읍(한전앞 인근),2871025000,37.74119958757575,126.4969692824242,6,6,0,2,4,0
2017,28,인천광역시 강화군 강화읍(강화군청앞 인근),2871025000,37.746806866969685,126.48531784363637,6,9,0,4,5,0
2017,28,인천광역시 강화군 강화읍(청소년수련관 인근),2871025000,37.73755974393939,126.5137394378788,5,8,0,2,6,0
2017,29,광주광역시 동구 학동(남광주교차로 인근),2911012200,35.13935923848485,126.92296634363635,20,35,1,8,25,1
2017,29,광주광역시 동구 지산동(지산사거리 인근),2911011100,35.1508848960606,126.93039362666671,14,20,0,5,13,2
2017,29,광주광역시 동구 동명동(송암빌딩 인근),2911010800,35.14956214666666,126.92215731363638,13,20,0,9,11,0
2017,29,광주광역시 서구 치평동(나우빌딩 인근),2914012000,35.152903270909086,126.85299328242422,64,101,0,6,92,3
2017,29,광주광역시 서구 금호동(서광주농협운천지소 인근),2914013000,35.150213177878804,126.85713490727275,52,79,1,5,71,2
2017,29,광주광역시 서구 광천동(광천4거리 인근),2914011500,35.161331959696966,126.88347006303027,37,59,0,1,56,2
2017,29,광주광역시 남구 방림동(백운고가시점 인근),2915511400,35.134421519090914,126.89965487666665,36,63,1,8,54,0
2017,29,광주광역시 남구 방림동(남광주농협3R 인근),2915511400,35.13375606727272,126.90758771121214,22,36,0,1,35,0
2017,29,광주광역시 남구 봉선동(백운교차로 인근),2915511500,35.13336686393939,126.90136156363637,21,39,1,3,33,2
2017,29,광주광역시 북구 매곡동(복다방 인근),2917011700,35.187270833333336,126.89960393909094,29,39,0,7,29,3
2017,29,광주광역시 북구 오치동(무동도서관사거리 인근),2917011500,35.17649817636363,126.9279048760606,27,38,0,6,28,4
2017,29,광주광역시 북구 운암동(운암사거리 인근),2917010900,35.176823833030305,126.87911968727272,26,49,1,3,45,0
2017,29,광주광역시 광산구 수완동(수완지화차도 인근),2920011400,35.19074347909091,126.8238588478788,37,66,0,5,60,1
2017,29,광주광역시 광산구 도천동(영광동사거리 인근),2920011300,35.14161814515152,126.79471868787876,33,44,0,8,36,0
2017,29,광주광역시 광산구 수완동(수완지구대앞 인근),2920011400,35.1906715690909,126.8288189460606,28,49,0,5,39,5
2017,30,대전광역시 동구 용전동(동부네거리 인근),3011011500,36.351081302424234,127.44211718787876,35,69,0,7,62,0
2017,30,대전광역시 동구 중동(대전역네거리 인근),3011012000,36.33118689848485,127.43267218848486,25,32,0,9,23,0
2017,30,대전광역시 동구 홍도동(용전네거리 인근),3011011700,36.347514645454545,127.43211403242425,23,31,0,7,22,2
2017,30,대전광역시 중구 부사동(보문오거리 인근),3014011100,36.31314261454545,127.43488787606061,35,52,0,10,42,0
2017,30,대전광역시 중구 대사동(성모오거리 인근),3014011000,36.32399502272727,127.42023415727277,26,59,2,6,51,0
2017,30,대전광역시 중구 유천동(서부네거리 인근),3014011500,36.31689020848485,127.3915850630303,23,52,0,4,48,0
2017,30,대전광역시 서구 둔산동(계룡로네거리 인근),3017011200,36.34972505333334,127.37738756363638,68,86,0,12,71,3
2017,30,대전광역시 서구 갈마동(갈마네거리 인근),3017011100,36.35308630121212,127.36891328363635,57,85,0,11,71,3
2017,30,대전광역시 서구 둔산동(은하수네거리 인근),3017011200,36.35133805454546,127.37842575090907,43,53,0,6,44,3
2017,30,대전광역시 유성구 신성동(봉명네거리 인근),3020012500,36.35533536545454,127.34199846909092,40,62,0,12,49,1
2017,30,대전광역시 유성구 반석동(외삼네거리 인근),3020013900,36.39588580454545,127.31187831363637,33,63,1,5,55,2
2017,30,대전광역시 유성구 갑동(한밭대입구삼거리 인근),3020011800,36.360485177878786,127.30416843787879,29,52,0,14,37,1
2017,30,대전광역시 대덕구 오정동(타이어뱅크앞 인근),3023010100,36.356518927878774,127.40550975121211,32,52,0,11,38,3
2017,30,대전광역시 대덕구 비래동(산림조합중앙회앞 인근),3023011000,36.35616942848485,127.44499718848483,31,53,0,6,41,6
2017,30,대전광역시 대덕구 석봉동(오정사거리 인근),3023011100,36.358585022727276,127.41558753242427,30,46,0,11,29,6
2017,31,울산광역시 중구 약사동(동국건축자재 인근),3111011700,35.578796804545455,129.3422187512121,25,38,0,4,31,3
2017,31,울산광역시 중구 태화동(모두투어여행사 인근),3111011100,35.55337714575758,129.30890240787875,24,34,0,4,28,2
2017,31,울산광역시 중구 옥교동(창성곰장어 인근),3111010500,35.55868539454546,129.32782103242425,20,23,0,9,9,5
2017,31,울산광역시 남구 야음동(공업탑로터리 인근),3114010800,35.53217586454545,129.30756578242423,33,49,0,9,40,0
2017,31,울산광역시 남구 두왕동(신부로터리 인근),3114010300,35.550077177272726,129.26378412727274,33,47,0,15,31,1
2017,31,울산광역시 남구 삼산동(남부장식 인근),3114010600,35.537710209090896,129.3351318772727,30,39,0,6,31,2
2017,31,울산광역시 동구 일산동(동해복집 인근),3117010300,35.498114677878796,129.42801050242426,21,29,0,7,22,0
2017,31,울산광역시 동구 전하동(진성상가앞 인근),3117010400,35.50743377333333,129.43005271909095,15,19,0,4,15,0
2017,31,울산광역시 동구 전하동(찬물락삼거리 인근),3117010400,35.504299083939394,129.42957100121214,14,17,0,9,8,0
2017,31,울산광역시 북구 진장동(명촌교북단사거리 인근),3120012100,35.54910123909091,129.35776290787877,21,36,0,9,21,6
2017,31,울산광역시 북구 호계동(게임의법칙 인근),3120010200,35.62856864636363,129.35244771969695,17,24,0,8,15,1
2017,31,울산광역시 북구 효문동(명촌정문앞 인근),3120012300,35.55623905272727,129.36062272090913,14,19,0,2,14,3
